2025-01-10T04:58:35.572Z - Fetching geodata for address: Kiefernweg 12, 79183 Waldkirch
2025-01-10T05:28:24.895Z - Fetching geodata for address: Kiefernweg 12, 79183 Waldkirch
2025-01-10T05:28:42.602Z - Fetching geodata for address: Kiefernweg 12, 79183 Waldkirch
2025-01-13T13:26:42.931Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-13T13:26:57.800Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-13T13:35:54.156Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-13T13:38:55.673Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-13T14:48:47.410Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-14T10:47:21.811Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-14T10:52:15.102Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-15T10:02:09.352Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-15T10:25:14.734Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-15T10:54:30.185Z - Fetching geodata for address: Fabrik Sonntag 2, 79183 Waldkirch
2025-01-15T11:26:49.797Z - Fetching geodata for address: Fabrik Sonntag 6, 79183 Waldkirch
2025-01-15T11:27:08.250Z - Fetching geodata for address: Fabrik Sonntag 6, 79183 Waldkirch
2025-01-15T11:27:57.331Z - Fetching geodata for address: Kiefernweg 12, 79183 Waldkirch
2025-01-16T13:32:56.477Z - Fetching geodata for address: Tullastr. 61, 79183 Waldkirch
2025-01-16T13:33:36.641Z - Fetching geodata for address: Tullastr. 61, 79108 Waldkirch
2025-01-16T13:34:04.741Z - Fetching geodata for address: Tullastraße 61, 79108 Waldkirch
2025-01-16T13:35:04.782Z - Fetching geodata for address: Tullastraße 61, 79108 Freiburg im Breisgau
2025-01-16T13:35:31.452Z - Fetching geodata for address: Tullastraße 60, 79108 Freiburg im Breisgau
2025-01-16T13:35:40.377Z - Fetching geodata for address: Tullastraße 61, 79108 Freiburg im Breisgau
2025-01-16T13:40:44.769Z - Fetching geodata for address: Tullastraße 60, 79108 Freiburg im Breisgau
2025-01-16T13:40:51.028Z - Fetching geodata for address: Tullastraße 61, 79108 Freiburg im Breisgau
2025-01-16T13:42:19.769Z - Fetching geodata for address: Herrenstr. 6, 79098 Freiburg im Breisgau
2025-01-16T13:45:13.966Z - Fetching geodata for address: Bertha-von-Suttner-Str. 14, 79111 Freiburg im Breisgau
2025-01-16T13:47:45.605Z - Fetching geodata for address: Günterstalstraße 50, 79100 Freiburg im Breisgau
2025-01-16T14:51:21.169Z - Fetching geodata for address:  ,  
2026-01-08T13:51:51.223Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-08T13:51:54.662Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-08T13:51:57.208Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-08T13:52:45.288Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-08T13:52:48.311Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-08T13:52:50.876Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-08T13:57:17.967Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-12T10:59:32.314Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-12T11:02:42.649Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-12T11:03:18.339Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-12T11:47:41.638Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-12T11:49:39.304Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-12T11:52:09.891Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
2026-01-19T08:33:53.119Z - Fetching geodata for address: Kiefernweg undefined, 79183 Waldkirch
